Created Date,Closed Date,Duration,Location Type,Incident Zip,City,Borough,Latitude,Longitude
2015-12-31 2:06:56,2015-12-31 2:17:37,0:10,Residential Building/House,10025,NEW YORK,MANHATTAN,40.79694199,-73.96827479
2015-12-31 2:08:32,2015-12-31 6:22:10,4:13,Residential Building/House,10036,NEW YORK,MANHATTAN,40.76226084,-73.99188151
2015-12-31 2:10:52,2015-12-31 2:42:06,0:31,Street/Sidewalk,10463,BRONX,BRONX,40.87984433,-73.90523365
2015-12-31 2:15:16,2015-12-31 5:55:29,3:40,Residential Building/House,10460,BRONX,BRONX,40.84110525,-73.88112132
2015-12-31 2:17:53,2015-12-31 3:58:32,1:40,Store/Commercial,10009,NEW YORK,MANHATTAN,40.72553423,-73.97780461
2015-12-31 2:24:05,2015-12-31 3:40:23,1:16,Residential Building/House,11221,BROOKLYN,BROOKLYN,40.69190889,-73.91853652
2015-12-31 2:27:14,2015-12-31 15:20:37,12:53,Residential Building/House,10025,NEW YORK,MANHATTAN,40.79694199,-73.96827479
2015-12-31 2:27:55,2015-12-31 5:22:21,2:54,Store/Commercial,11385,RIDGEWOOD,QUEENS,40.70405345,-73.90977549
2015-12-31 2:27:58,2015-12-31 6:38:38,4:10,Residential Building/House,10457,BRONX,BRONX,40.84275461,-73.89505109
2015-12-31 2:28:27,2015-12-31 4:11:06,1:42,Residential Building/House,11417,OZONE PARK,QUEENS,40.67779522,-73.83230164
2015-12-31 2:29:12,2015-12-31 4:09:54,1:40,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.65535593,-73.95106436
2015-12-31 2:30:21,2015-12-31 4:34:09,2:03,Residential Building/House,11210,BROOKLYN,BROOKLYN,40.63355435,-73.93999795
2015-12-31 2:31:34,2015-12-31 12:22:24,9:50,Residential Building/House,10471,BRONX,BRONX,40.89639579,-73.89680027
2015-12-31 2:34:47,2015-12-31 4:13:36,1:38,Residential Building/House,10016,NEW YORK,MANHATTAN,40.74429047,-73.98638742
2015-12-31 2:39:45,2015-12-31 4:14:54,1:35,Residential Building/House,10461,BRONX,BRONX,40.84657157,-73.82982678
2015-12-31 2:46:23,2015-12-31 6:07:29,3:21,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND,40.61699491,-74.15637229
2015-12-31 2:47:08,2015-12-31 3:23:06,0:35,Residential Building/House,11232,BROOKLYN,BROOKLYN,40.64414291,-73.99813342
2015-12-31 2:49:36,2015-12-31 4:00:58,1:11,Club/Bar/Restaurant,11249,BROOKLYN,BROOKLYN,40.71357512,-73.96580748
2015-12-31 2:54:24,2015-12-31 15:04:06,12:09,Residential Building/House,10465,BRONX,BRONX,40.83258882,-73.82718845
2015-12-31 2:54:56,2015-12-31 4:25:39,1:30,Residential Building/House,10030,NEW YORK,MANHATTAN,40.81937471,-73.94071557
2015-12-31 2:58:53,2015-12-31 6:27:39,3:28,Store/Commercial,10028,NEW YORK,MANHATTAN,40.77718339,-73.9541558
2015-12-31 2:59:31,2015-12-31 4:59:23,1:59,Residential Building/House,10301,STATEN ISLAND,STATEN ISLAND,40.63772503,-74.08780723
2015-12-31 3:00:11,2015-12-31 6:34:09,3:33,Residential Building/House,10458,BRONX,BRONX,40.86332962,-73.8899138
2015-12-31 3:02:15,2015-12-31 4:14:58,1:12,Residential Building/House,10461,BRONX,BRONX,40.84657157,-73.82982678
2015-12-31 3:04:33,2015-12-31 6:34:34,3:30,Residential Building/House,10467,BRONX,BRONX,40.87711663,-73.87419003
2015-12-31 3:10:48,2015-12-31 3:42:44,0:31,Street/Sidewalk,10033,NEW YORK,MANHATTAN,40.8468522,-73.93589475
2015-12-31 3:11:41,2015-12-31 4:36:03,1:24,Residential Building/House,10040,NEW YORK,MANHATTAN,40.86221618,-73.92969425
2015-12-31 3:16:56,2015-12-31 3:58:36,0:41,Store/Commercial,10009,NEW YORK,MANHATTAN,40.72553423,-73.97780461
2015-12-31 3:18:18,2015-12-31 4:35:59,1:17,Residential Building/House,10033,NEW YORK,MANHATTAN,40.85023581,-73.93986032
2015-12-31 3:19:15,2015-12-31 16:27:15,13:08,Residential Building/House,11218,BROOKLYN,BROOKLYN,40.63443053,-73.96935006
2015-12-31 3:23:35,2015-12-31 5:31:10,2:07,Residential Building/House,10029,NEW YORK,MANHATTAN,40.79078867,-73.94689841
2015-12-31 3:26:46,2015-12-31 4:35:25,1:08,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86919848,-73.91698878
2015-12-31 3:26:51,2015-12-31 6:25:18,2:58,Residential Building/House,11372,JACKSON HEIGHTS,QUEENS,40.74909956,-73.887024
2015-12-31 3:40:04,2015-12-31 10:52:49,7:12,Club/Bar/Restaurant,10459,BRONX,BRONX,40.82210831,-73.90061166
2015-12-31 3:47:18,2015-12-31 4:51:54,1:04,Residential Building/House,10040,NEW YORK,MANHATTAN,40.8554683,-73.93674679
2015-12-31 3:47:58,2015-12-31 5:56:32,2:08,Residential Building/House,11238,BROOKLYN,BROOKLYN,40.68900997,-73.95895452
2015-12-31 3:59:53,2015-12-31 8:12:19,4:12,Residential Building/House,10012,NEW YORK,MANHATTAN,40.7290277,-73.99915211
2015-12-31 4:09:42,2015-12-31 9:15:41,5:05,Residential Building/House,10451,BRONX,BRONX,40.82160438,-73.91210189
2015-12-31 4:45:06,2015-12-31 9:39:54,4:54,Residential Building/House,10459,BRONX,BRONX,40.82235757,-73.89387649
2015-12-31 4:45:55,2015-12-31 6:07:23,1:21,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND,40.61699491,-74.15637229
2015-12-31 5:17:20,2015-12-31 5:33:17,0:15,Residential Building/House,11435,JAMAICA,QUEENS,40.70823262,-73.81478929
2015-12-31 5:38:29,2015-12-31 6:36:38,0:58,Street/Sidewalk,11249,BROOKLYN,BROOKLYN,40.71775824,-73.95782213
2015-12-31 5:43:35,2015-12-31 12:27:54,6:44,Residential Building/House,10452,BRONX,BRONX,40.83032341,-73.92226604
2015-12-31 5:56:10,2015-12-31 6:36:16,0:40,Residential Building/House,10467,BRONX,BRONX,40.87492106,-73.87690615
2015-12-31 6:12:14,2015-12-31 16:26:11,10:13,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.65221852,-73.95765454
2015-12-31 6:13:31,2015-12-31 12:26:50,6:13,Residential Building/House,11415,KEW GARDENS,QUEENS,40.70874046,-73.82902083
2015-12-31 8:40:43,2015-12-31 13:28:33,4:47,Residential Building/House,11360,BAYSIDE,QUEENS,40.77845124,-73.78305442
2015-12-31 8:52:12,2015-12-31 11:26:31,2:34,Residential Building/House,10025,NEW YORK,MANHATTAN,40.79197655,-73.9675007
2015-12-31 9:14:17,2015-12-31 9:39:57,0:25,Street/Sidewalk,11237,BROOKLYN,BROOKLYN,40.70266565,-73.92671396
2015-12-31 9:25:56,2015-12-31 10:28:08,1:02,Residential Building/House,11238,BROOKLYN,BROOKLYN,40.68471098,-73.95708224
2015-12-31 10:17:19,2015-12-31 15:22:55,5:05,Residential Building/House,11207,BROOKLYN,BROOKLYN,40.6821633,-73.89305401
2015-12-31 10:18:33,2015-12-31 10:55:03,0:36,Park/Playground,11214,BROOKLYN,BROOKLYN,40.60966562,-73.99974069
2015-12-31 10:21:35,2015-12-31 16:24:01,6:02,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.6465213,-73.96032118
2015-12-31 10:36:54,2015-12-31 15:49:12,5:12,Residential Building/House,10451,BRONX,BRONX,40.81828913,-73.92016296
2015-12-31 10:37:24,2015-12-31 15:10:44,4:33,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.668209,-73.93813557
2015-12-31 10:56:35,2015-12-31 15:37:20,4:40,Residential Building/House,11365,FRESH MEADOWS,QUEENS,40.73491319,-73.81062326
